LatO,LongO,LatD,LongD
40.756889,-73.94429,40.762451,-73.937782
40.71909,-73.988922,40.69009,-73.915543
40.764389,-73.985123,40.762821,-73.927002
40.743938,-73.923935,40.72488,-73.873093
40.764011,-73.988701,40.794048,-73.949089
40.776642,-73.979462,40.720436,-73.99398
40.780231,-73.950317,40.82275,-73.912743
40.762199,-73.983177,40.766678,-73.921516
40.764683,-73.995659,40.793964,-73.94416
40.756985,-73.989609,40.787128,-73.941879
40.763088,-73.992981,40.792255,-73.941277
40.746994,-73.904778,40.757759,-73.970016
40.813496,-73.956161,40.814457,-73.90863
40.763309,-73.98867,40.802631,-73.937103
40.764751,-73.995338,40.741749,-73.983528
40.768211,-73.955612,40.764042,-73.989868
40.759205,-73.985596,40.74527,-73.921227
40.725239,-73.997719,40.718369,-74.042091
40.76783,-73.981621,40.720329,-73.995041
40.760422,-73.987137,40.743145,-73.919945
40.747017,-73.986053,40.742554,-73.94931
40.710365,-74.015121,40.745907,-73.990814
40.71244,-73.992157,40.744141,-73.987213
40.745808,-73.987778,40.723946,-73.978928
40.738022,-74.005653,40.68351,-73.99968
40.756889,-73.94429,40.762451,-73.937782
40.71909,-73.988922,40.69009,-73.915543
40.764389,-73.985123,40.762821,-73.927002
40.743938,-73.923935,40.72488,-73.873093
40.764011,-73.988701,40.794048,-73.949089
40.776642,-73.979462,40.720436,-73.99398
40.780231,-73.950317,40.82275,-73.912743
40.762199,-73.983177,40.766678,-73.921516
40.764683,-73.995659,40.793964,-73.94416
40.756985,-73.989609,40.787128,-73.941879
40.763088,-73.992981,40.792255,-73.941277
40.746994,-73.904778,40.757759,-73.970016
40.813496,-73.956161,40.814457,-73.90863
40.763309,-73.98867,40.802631,-73.937103
40.764751,-73.995338,40.741749,-73.983528
40.768211,-73.955612,40.764042,-73.989868
40.759205,-73.985596,40.74527,-73.921227
40.725239,-73.997719,40.718369,-74.042091
40.76783,-73.981621,40.720329,-73.995041
40.760422,-73.987137,40.743145,-73.919945
40.747017,-73.986053,40.742554,-73.94931
40.710365,-74.015121,40.745907,-73.990814
40.71244,-73.992157,40.744141,-73.987213
40.745808,-73.987778,40.723946,-73.978928
40.738022,-74.005653,40.68351,-73.99968
40.753967,-73.992439,40.79298,-73.973694
40.761459,-73.925873,40.725029,-73.948357
40.739475,-74.002724,40.727661,-73.983658
40.756405,-73.986801,40.72356,-73.979187
40.768894,-73.985077,40.780209,-73.947388
40.722141,-73.957542,40.670639,-73.933067
40.722599,-73.985947,40.75029,-73.991409
40.776161,-73.985573,40.762383,-73.983276
40.725327,-73.98391,40.697968,-73.936562
