pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_datetime
-73.98927307,40.7564888,-74.00279999,40.76050186,1/10/2016 8:45
-73.99123383,40.75000763,-73.98770142,40.76012421,1/10/2016 13:42
-73.99396515,40.76069641,-73.9646225,40.76416016,1/10/2016 0:01
-73.98390961,40.74391174,-74.00566864,40.74016953,1/10/2016 19:44
-73.97467041,40.75205612,-74.01213837,40.71695328,1/10/2016 17:54
-73.98795319,40.74572372,-74.00385284,40.74791336,1/10/2016 19:32
-73.9716568,40.75911713,-73.98202515,40.73924255,1/10/2016 6:38
-73.94277191,40.79426575,-73.94213867,40.80968857,1/10/2016 19:08
-73.98145294,40.77892685,-73.9821701,40.76907349,1/10/2016 13:01
-73.951828,40.77769852,-73.95470428,40.7875061,1/10/2016 11:44
-73.95961761,40.71819687,-73.8664093,40.73802567,1/10/2016 1:43
-73.97145081,40.79771423,-73.98234558,40.77488708,1/10/2016 15:49
-73.98116302,40.77941132,-73.9813385,40.77387238,1/10/2016 8:54
-74.00088501,40.72906876,-73.97995758,40.74330521,1/10/2016 1:49
-73.98500824,40.73223877,-73.97007751,40.74903107,1/10/2016 3:19
-73.98711395,40.77603912,-73.98267365,40.76703644,1/10/2016 13:01
-73.86279297,40.76847839,-73.99725342,40.69194794,1/10/2016 21:37
-73.98563385,40.72716522,-73.92976379,40.68649292,1/10/2016 3:34
-73.9779129,40.68483353,-73.98257446,40.69363022,1/10/2016 16:23
-74.00624847,40.73435974,-74.00830841,40.70750046,1/10/2016 20:11
-73.97572327,40.78926849,-73.95522308,40.77349091,1/10/2016 10:48
-73.88532257,40.77308655,-73.98505402,40.75981522,1/10/2016 21:47
-73.98140717,40.77399826,-73.99907684,40.7394104,1/10/2016 13:20
-74.00617981,40.73379898,-73.98547363,40.72764969,1/10/2016 12:49
-74.00527954,40.72053146,-74.00652313,40.71409988,1/10/2016 18:19
-73.97892761,40.75302887,-73.97468567,40.74855042,1/10/2016 6:03
-73.98529816,40.7686348,-74.00815582,40.74876785,1/10/2016 10:43
-73.9545517,40.7780838,-73.94671631,40.77226639,1/10/2016 13:50
-73.98882294,40.72511673,-73.99427032,40.74508667,1/10/2016 22:41
-73.97510529,40.75224686,-73.98364258,40.74369812,1/10/2016 13:49
-73.98852539,40.77835464,-73.98188019,40.77298355,1/10/2016 10:57
-74.00615692,40.73995972,-73.98503113,40.75601959,1/10/2016 14:40
-73.9794693,40.78155518,-73.94245148,40.79474258,1/10/2016 20:00
-73.98564148,40.73595047,-73.9914856,40.74884033,1/10/2016 10:47
-73.98538971,40.74740601,-73.99708557,40.73664474,1/10/2016 0:33
-73.97010803,40.79960251,-73.97480011,40.78752899,1/10/2016 13:41
-73.97535706,40.75242615,-73.9883194,40.73744202,1/10/2016 16:00
-73.96788025,40.76562881,-73.98244476,40.77257156,1/10/2016 11:50
-73.96842957,40.75521851,-73.98831177,40.74845886,1/10/2016 0:11
-73.97194672,40.78210831,-73.95001221,40.77175903,1/10/2016 13:07
-73.98591614,40.73114014,-73.97734833,40.75197601,1/10/2016 0:30
-73.97596741,40.75101089,-73.97467804,40.74195862,1/10/2016 6:42
-73.98908997,40.72019958,-73.97560883,40.65639877,1/10/2016 1:42
-73.98524475,40.7276268,-73.98149109,40.74106979,1/10/2016 0:52
-74.00627136,40.7335434,-73.9930954,40.73669052,1/10/2016 1:04
-73.98207092,40.77262497,-73.97735596,40.79121399,1/10/2016 19:33
-73.98516846,40.74195862,-73.99222565,40.74942017,1/10/2016 15:05
-73.98739624,40.72021103,-73.95352173,40.77772903,1/10/2016 3:42
-73.96108246,40.76494598,-73.97451782,40.73015594,1/10/2016 19:06
-73.9800415,40.77065277,-73.9743042,40.74679947,1/10/2016 9:40
-73.98606873,40.73278046,-73.99478149,40.74021912,1/10/2016 14:05
-73.99427795,40.75106812,-73.91799927,40.86578369,1/10/2016 6:46
-73.99146271,40.73160934,-73.99841309,40.72291183,1/10/2016 14:07
-74.00920868,40.71680069,-73.99611664,40.74261856,1/10/2016 20:14
-73.99833679,40.74525833,-73.99301147,40.76195908,1/10/2016 18:27
-73.97869873,40.76433945,-73.98873138,40.77244186,1/10/2016 17:45
-73.99176788,40.73115158,-73.99846649,40.73314667,1/10/2016 2:13
-73.98362732,40.74692154,-73.99826813,40.85353088,1/10/2016 2:33
-73.97956085,40.73996735,-73.98841095,40.71980667,1/10/2016 16:25
-73.99633026,40.71595383,-73.99602509,40.72453308,1/10/2016 15:48
-73.96794128,40.7626915,-73.95608521,40.78392792,1/10/2016 7:30
-73.9910202,40.76087952,-73.97779846,40.75328064,1/10/2016 0:17
-73.99367523,40.74978638,-73.97367096,40.75028992,1/10/2016 14:57
-73.96656799,40.76448059,-73.95520782,40.7857666,1/10/2016 16:37
-74.00299835,40.73994446,-73.97808838,40.73748779,1/10/2016 9:52
-73.98474884,40.75848007,-73.98789978,40.74406815,1/10/2016 19:47
-74.00713348,40.73441696,-73.97829437,40.75382233,1/10/2016 15:05
-73.96629333,40.7646637,-73.95401001,40.76390076,1/10/2016 6:08
-73.95426178,40.7641449,-73.99084473,40.75121307,1/10/2016 8:10
-73.99508667,40.72610855,-74.00708008,40.73445892,1/10/2016 1:25
-74.00530243,40.73831177,-74.00175476,40.72483063,1/10/2016 14:43
-73.9557724,40.77978897,-73.98068237,40.7828598,1/10/2016 20:17
-73.98578644,40.75921249,-73.97957611,40.76243591,1/10/2016 7:03
-73.99410248,40.75138092,-73.94812775,40.77877045,1/10/2016 23:04
-73.99209595,40.72529984,-73.98299408,40.7444191,1/10/2016 1:21
-73.98149872,40.78090286,-73.98840332,40.77853012,1/10/2016 16:47
-73.98175812,40.76423645,-73.99053192,40.74460983,1/10/2016 0:05
-73.98210144,40.77125168,-73.98243713,40.76382065,1/10/2016 0:31
-73.92266846,40.66751099,-73.91681671,40.67504883,1/10/2016 4:51
-74.00833893,40.72162628,-74.00032043,40.72904205,1/10/2016 16:08
-74.00363159,40.74183655,-73.97092438,40.76456833,1/10/2016 12:25
-73.99198914,40.74882126,-74.00073242,40.74621201,1/10/2016 17:57
-73.98500824,40.75885773,-73.95201874,40.77824783,1/10/2016 19:50
-73.87308502,40.77405167,-73.98903656,40.75757599,1/10/2016 19:45
-73.98143768,40.73717117,-73.99155426,40.74925995,1/10/2016 13:34
-73.9683075,40.79953003,-73.93109131,40.85913849,1/10/2016 23:08
-73.98536682,40.73187637,-73.99461365,40.72050476,1/10/2016 19:52
-74.00749207,40.74279022,-73.98535156,40.75355911,1/10/2016 14:58
-73.97670746,40.75197983,-73.9618988,40.77951431,1/10/2016 11:51
-73.98195648,40.77770615,-73.99726868,40.75635147,1/10/2016 1:11
-73.99376678,40.75688171,-73.98644257,40.7430687,1/10/2016 15:40
-73.9896698,40.72974777,-73.99289703,40.7521019,1/10/2016 4:15
-74.00934601,40.70608521,-74.00305939,40.72510147,1/10/2016 22:11
-73.97157288,40.75476837,-73.83307648,40.70430756,1/10/2016 20:45
-73.9883728,40.75891876,-74.00211334,40.75178909,1/10/2016 4:10
-73.91260529,40.77476883,-73.92247772,40.76570129,1/10/2016 15:41
-74.00385284,40.73744583,-73.99632263,40.73791885,1/10/2016 0:28
-74.01113129,40.71490097,-73.97286987,40.68819427,1/10/2016 14:01
-73.99331665,40.73589706,-73.98165894,40.76266479,1/10/2016 21:53
-73.96025085,40.71523666,-73.99188995,40.68960953,1/10/2016 16:47
-73.98835754,40.74596024,-73.98835754,40.74596024,1/10/2016 0:21
-73.97730255,40.76440048,-73.9774704,40.75831985,1/10/2016 14:51
-73.99732971,40.74196243,-74.00629425,40.7334137,1/10/2016 0:19
-73.97164917,40.79465485,-73.95063019,40.80067825,1/10/2016 17:00
-73.98616791,40.76232147,-73.98278809,40.7670784,1/10/2016 11:33
-73.99253845,40.75024033,-73.96452332,40.76411438,1/10/2016 0:18
-73.98641205,40.76212692,-73.96955109,40.75766754,1/10/2016 12:41
-73.96955109,40.75662994,-73.87122345,40.77423096,1/10/2016 15:15
-73.96747589,40.76270294,-73.98596191,40.76720047,1/10/2016 10:26
-73.96899414,40.7668457,-73.96376038,40.77419662,1/10/2016 9:09
-73.95084381,40.78313446,-73.9826889,40.76502228,1/10/2016 12:23
-73.97045898,40.76172256,-73.95919037,40.74369431,1/10/2016 0:41
-73.96308899,40.76223373,-73.91674042,40.76446915,1/10/2016 0:58
-73.97622681,40.78074646,-73.86195374,40.76851654,1/10/2016 7:52
-73.98569489,40.76321411,-74.00553131,40.72559357,1/10/2016 0:53
-73.99584961,40.74281693,-74.00243378,40.73439789,1/10/2016 11:12
-73.96681213,40.76496124,-73.95440674,40.77584839,1/10/2016 19:43
-73.98937988,40.72095108,-73.96842194,40.75905991,1/10/2016 8:29
-73.94852448,40.78196716,-73.96205139,40.76621628,1/10/2016 15:18
-73.97989655,40.7461319,-73.99582672,40.73052216,1/10/2016 0:54
-74.008255,40.72174454,-73.98892212,40.74365997,1/10/2016 9:42
-73.97859192,40.76340103,-73.98822784,40.7428093,1/10/2016 21:44
-73.9903717,40.75610733,-73.98351288,40.76585007,1/10/2016 9:51
-73.97868347,40.74026871,-73.98797607,40.74832153,1/10/2016 23:23
-73.97840881,40.72880936,-73.97975159,40.74559021,1/10/2016 1:52
-73.9990921,40.72654724,-73.96484375,40.80163193,1/10/2016 1:14
-73.99040222,40.71955109,-73.94924927,40.82429123,1/10/2016 0:37
-74.00125885,40.73666382,-74.00553894,40.72740555,1/10/2016 15:33
-73.98086548,40.77979279,-73.99905396,40.73944473,1/10/2016 19:01
-73.99655151,40.72360992,-73.96929932,40.75741959,1/10/2016 11:27
-73.9576416,40.76982117,-74.00218201,40.75569153,1/10/2016 14:11
-73.98284912,40.76316833,-73.96704102,40.75892639,1/10/2016 4:08
-73.98210907,40.75773621,-73.97775269,40.75363159,1/10/2016 17:48
-73.99770355,40.75651169,-73.96576691,40.75431442,1/10/2016 16:24
-73.97947693,40.77789307,-73.94116974,40.84324646,1/10/2016 18:27
-73.94945526,40.78118134,-73.99099731,40.77494431,1/10/2016 16:04
-73.99092102,40.73394775,-73.99071503,40.73965836,1/10/2016 18:13
-73.97062683,40.79411697,-73.95565033,40.78779984,1/10/2016 19:12
-73.99485016,40.71816254,-74.00514221,40.72055054,1/10/2016 0:23
-73.99880981,40.7455101,-73.98703003,40.76081848,1/10/2016 11:17
-73.95970917,40.76685333,-73.9806366,40.73812866,1/10/2016 12:31
-73.97834778,40.75167084,-74.00205231,40.7328186,1/10/2016 16:41
-73.99082184,40.74232101,-73.99120331,40.73003769,1/10/2016 21:19
-73.9463501,40.77664948,-73.98818207,40.76300812,1/10/2016 14:22
-73.98948669,40.77663422,-73.97773743,40.7654686,1/10/2016 19:49
-73.95466614,40.82100296,-73.95466614,40.82100296,1/10/2016 2:32
-73.98239899,40.72768402,-73.98828125,40.71350098,1/10/2016 20:30
-73.9912796,40.75973892,-73.92208099,40.76063538,1/10/2016 1:24
-73.9864502,40.75511169,-74.00467682,40.74205017,1/10/2016 19:24
-73.9513855,40.77447128,-73.95288849,40.78247452,1/10/2016 12:18
-73.98300934,40.77162933,-74.00061035,40.75846481,1/10/2016 11:26
-73.9630661,40.77502823,-73.96060944,40.76805496,1/10/2016 0:23
-73.95006561,40.75078201,-74.0014267,40.7361145,1/10/2016 13:01
-73.98780823,40.76148987,-73.99827576,40.76401901,1/10/2016 20:06
